Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,6,x
Ego sum,Ich bin; ich heiße,6,x
familia,die Familie,6,s
servus,der Diener; der Sklave,6,s
serva,die Dienerin; die Sklavin,6,s
dominus,der Herr; der Hausherr,6,s
domina,die Herrin; die Hausherrin,6,s
negotium,das Geschäft (machen); die Aufgabe,6,s
est,er/sie/es ist; es gibt,6,v
amicus,der Freund,6,s
et,und,6,x
amica,die Freundin,6,s
ubi,wo,6,x
non,nicht,6,x
hic,hier,6,x
properare,eilen; sich beeilen,6,v
laborare,leiden; arbeiten,6,v
clamare,(laut) rufen; schreien,6,v
sedere; sedeo; sedi; sessum,sitzen; dasitzen,6,v
gaudere,sich freuen; froh sein,6,v
sunt,sie sind; es gibt/findet statt,6,x
nam,denn ; nämlich,6,x
etiam,auch ; sogar,6,x
ibi,dort,6,x
debere,müssen; schulden,6,v
nunc,nun; jetzt,6,x
sed,aber; doch; sondern,6,x
cur?,warum?,6,x
otium,die Freizeit; die Ruhe; die Muße,6,s
forum,das Forum; der (Markt)Platz; das Stadtzentrum,6,s
nomen,der Name,6,s
lectus,das Bett; die Liege,6,s
mensa,der Tisch,6,s
cibus,die Speise; das Essen; die Nahrung,6,s
cenare,essen; speisen,6,v
vinum,der Wein,6,s
aqua,das Wasser,6,s
vocare,rufen,6,v
quid?,was?,6,x
ridere; rideo; risi,lachen; auslachen,6,v
venire; venio; veni; ventum,kommen,6,v
audire,hören; anhören,6,v
dormire,schlafen,6,v
desperare,verzweifeln; die Hoffnung aufgeben,6,v
tum,dann; darauf; da; damals,6,x
iam,schon; bereits,6,x
subito,plötzlich,6,x
imperare,befehlen; anordnen; herrschen,6,v
parere,gehorchen; folgen,6,v
cessare,zögern; sich Zeit lassen,6,v
salutare,grüßen; begrüßen,6,v
salve!,sei gegrüßt; grüß dich!,6,x
num?,etwa?,6,x
aperire; aperio; aperui,öffnen; aufmachen,6,v
intrare,betreten; eintreten,6,v
verbum,das Wort,6,s
tacere,still sein; schweigen; verschweigen,6,v
rogare,fragen; bitte (um),6,v
respondere; respondeo; respondi,antworten,6,v
docere; doceo; docui; doctum,lehren; beibringen; unterrichten,6,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,6,s
laudare,loben,6,v
bene,gut,6,x
tu,du,6,x
tabula,die Tafel; das Brett,6,s
amare,lieben; germe mögen,6,v
curare,sich kümmern; soregen (für); pflegen,6,v
ego,ich,6,x
spectare,(an)schauen; betrachten,6,v
monere,mahnen; erinnern,6,v
tandem,endlich; schließlich,6,x
puella,das Mädchen,6,s
quis?,wer?,6,x
autem,aber; jedoch,6,x
semper,immer,6,x
narrare,erzählen; berichten,6,v
quaeso,ich bitte,6,v
quaesumus,wir bitten,6,v
enim,denn; nämlich,6,x
grammaticus,der Literaturlehrer,6,s
magister,der Lehrer,6,s
Romanus,der Römer,6,s
dea,die Göttin,6,s
deus,Gott,6,s
sacrum,das Opfer(tier); die Opferhandlung,6,s
ara,der Altar,6,s
templum,der Tempel,6,s
ignorare,nicht wissen ; nicht kennen,6,v
non ignorare,genau wissen,6,v
habere,haben,6,v
timere,sich fürchten; Angst haben,6,v
colere; colo; colui; cultum,bewirtschaften; bebauen; pflegen; verehren,6,v
emere; emo; emi; emptum,kaufen,6,v
vendere; vendo; vendidi; venditum,verkaufen,6,v
dicere; dico; dixi; dictum,sagen; sprechen; reden; nennen,6,v
facere; facio; feci; factum,tun; machen; ausführen,6,v
cupere; cupio; cupivi; cupitum ,wünschen; haben wolln; begehren,6,v
novem,neun,6,x
mille,tausend,6,x
nummus,die Münze,6,s
poscere; posco; poposci,fordern,6,v
tres,drei,6,x
incendere; incendo; incendi; incensum,entflammen; in Brand setzen,6,v
sex,sechs,6,x
iterum,wiederum; ein zweies mal,6,x
certe,sicher; gewiss,6,x
si,wenn; falls,6,x
theatrum,das Theater,6,s
videre; video; vidi,sehen,6,v
ludus,das Spiel; die Schule; die (zirkus)Spiele,6,s
incipere; incipio; coepi; coeptum,anfangen; beginnen,6,v
filius,der Sohn,6,s
effugere; effugio; effugi,entkommen,6,v
mercator,der Händler; Kaufmann,6,s
senator,der Senator,6,s
gladiator,der Gladiator,6,s
fur,der Dieb; die Diebin,6,s
clamor,der Schrei; das Gesschrei; der Lärm,6,s
esse; sum; fui,sein,6,v
adesse; adsum,da sein; helfen,6,x
abesse; absum,fort sein; weg sein; fehlen,6,x
retinere; retineo,zurückhalten; behalten; festhalten,6,v
intus,innne; im inneren,6,x
turba,die (Menschen-)Menge; das Durcheinander; das Gedränge,6,s
amor,die Liebe,6,s
dolor,der Schmerz,6,s
vita,das Leben; die Lebensweise,6,s
bestia,das (wilde) Tier,6,s
liberi,die Kinder,6,s
porta,die Tür; das Tor; der eingang,6,s
claudere; claudo; clausi; clausum,schließen; einschließen; versprerren,6,v
non iam,nicht mehr,6,x
larva,das Gespenst,6,s
persona,die Maske; die Rolle (im Schausoiel),6,s
scaena,die Bühne,6,s
occurrere; occuro; occurri; occursum,entgegenlaufen; -treten; begegnen,6,v
curia,die Kurie; das Rathaus,6,s
orator,der Redner,6,s
flamma,die Flamme,6,s
me,mich,6,x
fugere; fugio; fugi,fliehen (vor); meiden,6,v
locus,der Ort; der Platz; die Stelle,6,s
dare; do; dedi; datum,geben,6,v
appropinquare; appropinqo, sich nähern; näher kommen,6,v
relinquere; relinquo; reliqui; relictum,verlassen; zurücklassen,6,v
agere; ago; egi; actum,tun; handeln; verhandeln; treiben,6,v
negotia agere,Geschäft betreiben,6,x
bestiam agere,ein Tier jagen,6,x
fabulam agere,ein Theaterstück aufführen,6,x
quid agis?,wie geht es dir?,6,x
vitam agere,sein Leben verbringen,6,x
mittere; mitto; misi; missum,schicken; loslassen; laufen lassen; werfen,6,v
posse ; possum; potui,können; vermögen,6,v
nondum,noch nicht,6,x
exspectare; exspecto,warten (auf); erwarten,6,v
statim,sofort; auf der Stelle,6,x
venia,die Nachsicht; die Verzeihung,6,s
veniam dare,verzeihen,6,x
resistere; resisto; resisti,sich widersetzen; Widerstand leisten,6,v
adhuc,bis jetzt; immer noch,6,x
explicare; explico,erklären,6,v
nuper,neulich,6,x
signum,das Zeichen; das Feldzeichen,6,s
vincere; vinco; vici; victum,siegen; besiegen,6,v
praemium,die Belohnung; der Lohn; der Preis,6,s
honor,die Ehre; das Eherenamt,6,s
studere; studeo,sich bemühen; (tum) wollen; studieren,6,v
vincere studere,siegen wollen,6,x
amico studere,sich um den Freund bemühen,6,x
vix,kaum; nur mit Mühe,6,x
equus,das Pferd,6,s
frustra,vergeblich; umsonst,6,x
denique,schließlich,6,x
petere; peto; petivi; petitum,bitte; verlangen; haben wollen; streben nach; erreichen wollen; aufsuchen; angreifen,6,v
senex; senis,der alte Mann; Greis,6,s
adulescens; adulescentis; adulescentium (gen. pl),der Jugendliche; der junge Mann,6,s
vox; vocis,die Stimme; das Wort,6,s
credere; credo; credidi; cretitum,glauben; vertrauen,6,v
incendium,der Brand; das Feuer,6,s
auctor; auctoris,der Urheber; der Grümder; der Schriftsteller,6,s
taberna,der Laden; das Wirtshaus,6,s
forte,zufällig,6,x
intellegere; intellego; intellexi; intellectum,erkennen; verstehen; einsehen,6,v
comprehendere; comprehendo; comprehendi; comprehensum,ergreifen; festnehmen; erfassen,6,v
